px,py,pz,E,mx,my,mz,K
-27.12421067,11.88258769,81.87925617,87.06969212,27.12421067,-11.88258769,533.370596,534.1920173
26.73173552,26.22797589,29.1864248,47.47988833,-26.73173552,-26.22797589,-22.44594962,43.66134512
-27.96828132,-0.3036863703,78.61053312,83.4381981,27.96828132,0.3036863703,710.4991857,711.049513
-43.68017032,-25.56478447,-88.38757499,101.8522405,43.68017032,25.56478447,-80.96945087,95.48595425
37.2230938,9.302987676,41.81033173,56.74687772,-37.2230938,-9.302987676,187.1894981,191.0811673
5.106263339,42.54532422,131.3738417,138.1856173,-5.106263339,-42.54532422,279.1489368,282.418674
-40.73718615,-17.12556643,-112.3552137,120.7331662,40.73718615,17.12556643,-111.0680202,119.5362224
-9.836316618,-45.01829172,-74.47318956,87.57657037,9.836316618,45.01829172,-70.22629015,83.99483045
-37.63656151,-25.11900567,-140.6180829,147.7190591,37.63656151,25.11900567,-200.7318814,205.7687134
-12.76169827,44.18531903,584.0686523,585.8766031,12.76169827,-44.18531903,441.5483814,443.9371313
-44.14911074,10.2866027,-609.9079596,611.5902856,44.14911074,-10.2866027,-502.0040091,504.0466083
12.37662575,-31.56854225,-115.2496341,120.1342245,-12.37662575,31.56854225,-609.564061,610.5064276
-38.35834807,-11.00302906,35.02172643,53.09379284,38.35834807,11.00302906,108.2090579,115.3326915
-26.42315833,11.97782961,190.8588087,193.0511242,26.42315833,-11.97782961,1522.576792,1522.853158
13.70640093,28.88311013,-480.7434,481.8052679,-13.70640093,-28.88311013,-76.7649703,83.15623935
26.0332458,-24.14808936,176.9911185,180.5179108,-26.0332458,24.14808936,75.22085596,83.18075064
0.7037403709,-43.56542582,89.35638847,99.41330764,-0.7037403709,43.56542582,39.36059159,58.71709927
16.25925464,-5.651099621,-673.1971548,673.4171868,-16.25925464,5.651099621,-23.44265559,29.08361033
-28.10368232,-25.5361438,260.4100757,263.1640536,28.10368232,25.5361438,898.6130513,899.4149919
-28.64446566,-6.230034707,-9.998177169,30.97228264,28.64446566,6.230034707,67.62156069,73.70206385
9.561633347,28.55576912,-38.36254549,48.77029504,-9.561633347,-28.55576912,28.07725508,41.1726734
-15.95964684,-40.94473809,-283.1886123,286.5780383,15.95964684,40.94473809,-185.8186022,190.9443239
-7.187880573,-24.49065628,896.816127,897.1792594,7.187880573,24.49065628,74.3323281,78.5923207
-28.7026365,-26.13872718,212.5694421,216.0852659,28.7026365,26.13872718,698.2229666,699.3013553
